;select,paramname,;description,mode,paramid,isfloat,databits,offsetbits,scalingrpn,;scaling,;units,sampinterval,sampgroup,isvisible
,AAT,Ambient Air Temperature,0x01,0x46,,8,,"x,40,-",A-40,C,,,
,AC_REQ_SW,A/C Refrigerant Pressure Switch,0x22,0x1104,,1,0,,,off / on,,,
,ACCS_SW,A/C Relay,0x22,0x1101,,1,0,,,off / on,,,
,APP,Accel Pedal Position (full range),0x22,0x1340,,8,,"x,0.39215684,*",A*0.39215684,%,,,
,APP1,APP Sensor 1 ,0x01,0x49,,8,,"x,0.39215684,*",A*0.39215684,%,,,
,APP1_V,APP Sensor 1 Voltage,0x22,0x914,,16,,"x,0.0009765625,*",((A*256)+B)*0.0009765625,V,,,
,APP2,APP Sensor 2,0x01,0x4A,,8,,"x,0.39215684,*",A*0.39215684,%,,,
,APP2_V,APP Sensor 2 Voltage,0x22,0x915,,16,,"x,0.0009765625,*",((A*256)+B)*0.0009765625,V,,,
,BARO,Barometric Pressure,0x01,0x33,,8,,,A,kPa,,,
,BARO_V,BARO Sensor Voltage,0x22,0x16B3,,16,,"x,0.000076293945,*",((A*256)+B)*0.000076293945,V,,,
,BOO_SW,Brake On/Off Switch,0x22,0x1101,,1,1,,,off / on,,,
,BPA_SW,Clutch Pedal Position Switch,0x22,0xA211,,1,1,,,off / on,,,
,CAT11_DSD,Catalyst Temperature Desired,0x01,0x3C,,16,,"x,0.099999994,*,40,+",(((A*256)+B)*0.099999994)+40,C,,,
,CPP_SW,Brake Pressure Applied Switch,0x22,0xA211,,1,0,,,off / on,,,
,DTC_CLR_DIST,Distance w/ DTCs Cleared,0x01,0x31,,16,,,,km,,,
,DTC_CLR_WARMUPS,# of warmups since DTCs cleared,0x01,0x30,,8,,,,,,,
,DTC_CNT,# of DTCs,0x22,0x200,,8,,,,,,,
,DTC_CNTD,# of DTCs (on demand),0x22,0x202,,8,,,,,,,
,DTC_FREEZE,DTC Freeze Frame Data ,0x01,0x02,,16,,,,,,,
,ECT,Engine Coolant Temp,0x01,0x05,,8,,"x,40,-",A-40,C,,,
,ECT_V,Engine Coolant Temp Voltage,0x22,0x114D,,16,,"x,0.000076293945,*",((A*256)+B)*0.000076293945,V,,,
,ECU_ID_A,,0x22,0xE21B,,32,,,,,,,
,ECU_ID_B,,0x22,0xE21C,,32,,,,,,,
,ECU_ID_C,,0x22,0xE21D,,32,,,,,,,
,ECU_ID_D,,0x22,0xE21E,,32,,,,,,,
,ECU_ID_E,,0x22,0xE611,,96,,,,,,,
,EGRP_DSD,EGR Purge Desired,0x01,0x2C,,8,,,,%,,,
,EGRP_STEPS,EGR Purge Steps,0x22,0x98E,,16,,,,steps,,,
,ENGINE_STATUS,,0x22,0xC124,,8,,,,,,,
,EQ_RATIO_ACT ,Air Fuel Equivalence Ratio (λ) Actual,0x01,0x34,,32,,"x,0.00001525878906,*,0.000030517578,*",((A*256)+B)*0.000030517578,lambda,,,
,EQ_RATIO_ACT_mA,Air Fuel Equivalence Ratio (λ) Current,0x01,0x34,,32,,,(((C*256)+D)*0.00390625)-128,mA,,,
,EQ_RATIO_DSD,Lambda Commanded,0x01,0x44,,16,,"x,0.000030517578,*",((A*256)+B)*0.000030517578,lambda,,,
,ETC_ACT_DEG,Throttle Position Actual (degrees),0x22,0x93C,,16,,"x,0.001953125,*",((A*256)+B)*0.001953125,(angle),,,
,ETC_DSD,Throttle Position Desired (duty),0x01,0x4C,,8,,"x,0.39215684,*",A*0.39215684,%,,,
,ETC_DSD_DEG,Throttle Control Desired (degrees),0x22,0x91A,,16,,"x,0.001953125,*",((A*256)+B)*0.001953125,(angle),,,
,EVAPCP,EVAP Canister Purge,0x01,0x2E,,8,,"x,0.39215684,*",A*0.39215684,%,,,
,FAN1_SW,Cooling Fan Relay Control,0x22,0x1103,,1,2,,,off / on,,,
,FAN2_SW,Cooling Fan Relay Control,0x22,0x1103,,1,3,,,off / on,,,
,FAN3_SW,Cooling Fan Relay Control,0x22,0x967,,1,2,,,off / on,,,
,FLI,Fuel Level Indicator,0x01,0x2F,,8,,,,%,,,
,FP_RELAY_SW,Fuel Pump Relay Switch,0x22,0x1718,,1,0,,,off / on,,,
,FUEL_PW,Injector Fuel Pulse Width,0x22,0x1410,,16,,"x,0.0079999994,*",((A*256)+B)*0.0079999994,ms,,,
,FUELSYS,Fuel System Status,0x01,0x03,,16,,,,,,,
,GEN_CHRGLP,Generator Warning Light,0x22,0x968,,1,0,,,off / on,,,
,GEN_DSD_V,Generator Voltage Desired,0x22,0x97C,,16,,"x,0.00048828125,*",((A*256)+B)*0.00048828125,V,,,
,GEN_FC,Generator Field Coil Control Duty,0x22,0x16E8,,16,,"x,0.0030517578,*",((A*256)+B)*0.0030517578,%,,,
,GEN_V,Generator Output Voltage,0x22,0x16E9,,16,,"x,0.125,*",((A*256)+B)*0.125,V,,,
,HIDET_SW,High Detonation Switch,0x22,0x1706,,1,0,,,off / on,,,
,IAT,Intake Air Temperature,0x01,0x0F,,8,,"x,40,-",A-40,C,,,
,IAT_V,Intake Air Temp Voltage,0x22,0x114A,,16,,"x,0.000076293945,*",((A*256)+B)*0.000076293945,V,,,
,IDLE,Idle Speed,0x22,0x96E,,16,,"x,0.25,*",((A*256)+B)*0.25,,,,
,IMRC_SW,Intake Manifold Runner Control,0x22,0x1103,,1,4,,,off / on,,,
,IMTV_SW,Variable Intake Air Control,0x22,0x160D,,1,1,,,off / on,,,
,INGEAR_SW,In Gear Switch,0x22,0x1101,,1,3,,,off / on,,,
,IVS_SW,Park Neutral Position Switch,0x22,0xA211,,1,4,,,off / on,,,
,KNOCKR,Knock Retard,0x22,0x1746,,8,,"x,0.3521126761,*",A*0.3521126761,(retard)°,,,
,LAMBDA_MOD_SW,Lambda Modification Switch,0x22,0x1706,,1,6,,,off / on,,,
,LDP_EVAPCP,EVAP LDP Incorrect Purge Flow Value,0x22,0x17FA,,16,,"x,0.00000056098486,*",((A*256)+B)*0.00000056098486,A,,,
,LDP_IDL_current,EVAP LDP Idle Current,0x22,0x17F7,,16,,"x,0.00000056098486,*",((A*256)+B)*0.00000056098486,A,,,
,LDP_MON_current,EVAP LDP Monitoring Current,0x22,0x17F4,,16,,"x,0.00000056098486,*",((A*256)+B)*0.00000056098486,A,,,
,LDP_REF_current,EVAP LDP Reference Current,0x22,0x17F5,,16,,"x,0.00000056098486,*",((A*256)+B)*0.00000056098486,A,,,
,LDP_SL_DV,EVAP LDP Small Leak Detect Value,0x22,0x17F8,,16,,"x,0.00000056098486,*",((A*256)+B)*0.00000056098486,A,,,
,LDP_VSL_DV,EVAP LDP Very Small Leak Detect Value,0x22,0x176B,,16,,"x,0.0000053405761,*",((A*256)+B)*0.0000053405761,mA/sec,,,
,LDP_VSL_FV,EVAP LDP Very Small Leak Fail Value,0x22,0x17F9,,16,,"x,0.0000053405761,*",((A*256)+B)*0.0000053405761,mA/sec,,,
,LDP_VSL_SV,EVAP LDP Very Small Leak Safe Value,0x22,0x179A,,16,,"x,0.0000053405761,*",((A*256)+B)*0.0000053405761,mA/sec,,,
